Gene	count_concord	unique_hg38	unique_hg19
A1BG	47	0	0
A1BG-AS1	23	0	0
A1CF	67	0	0
A2M	169	0	0
A2M-AS1	2	0	0
A2ML1	229	0	0
A3GALT2	45	0	0
A4GALT	31	0	0
A4GNT	45	0	0
AAAS	73	0	0
AACS	123	0	0
AADAC	15	0	0
AADACL2	12	0	0
AADACL2-AS1	28	0	0
AADACL3	40	0	0
AADACL4	43	0	0
AADAT	56	0	0
AAGAB	64	0	0
AAK1	105	0	0
AAMDC	19	0	0
AAMP	57	0	0
AANAT	39	0	0
AAR2	28	0	0
AARD	21	0	0
AARS2	153	0	0
AARSD1	51	0	0
AASDH	124	0	0
AASDHPPT	35	0	0
AASS	103	0	0
AATF	65	0	0
AATK	193	0	0
ABALON	1	0	0
ABAT	107	0	0
ABCA1	295	0	0
ABCA10	221	0	0
ABCA11P	5	0	0
ABCA12	266	0	0
ABCA13	504	0	0
ABCA2	348	0	0
ABCA3	297	0	0
ABCA4	374	0	0
ABCA5	188	0	0
ABCA6	188	0	0
ABCA7	400	0	0
ABCA8	250	0	0
ABCA9	183	0	0
ABCA9-AS1	21	0	0
ABCB1	175	0	0
ABCB10	67	0	0
ABCB11	183	0	0
ABCB4	139	0	0
ABCB5	216	0	0
ABCB6	88	0	0
ABCB8	119	0	0
ABCB9	85	0	0
ABCC1	255	0	0
ABCC10	161	0	0
ABCC11	221	0	0
ABCC12	180	0	0
ABCC2	212	0	0
ABCC3	187	0	0
ABCC4	186	0	0
ABCC5	127	0	0
ABCC6	285	0	0
ABCC8	222	0	0
ABCC9	179	2	2
ABCD2	54	0	0
ABCD3	100	0	0
ABCD4	147	0	0
ABCE1	61	0	0
ABCF1	97	0	0
ABCF2	82	0	0
ABCF3	100	0	0
ABCG1	163	0	0
ABCG2	100	0	0
ABCG4	68	0	0
ABCG5	89	0	0
ABCG8	146	0	0
ABHD1	53	0	0
ABHD10	38	0	0
ABHD11	48	0	0
ABHD12	76	0	0
ABHD12B	58	0	0
ABHD13	89	0	0
ABHD14A	29	0	0
ABHD14A-ACY1	74	0	0
ABHD14B	23	0	0
ABHD15	34	0	0
ABHD16A	93	0	0
ABHD16B	47	0	0
ABHD17A	34	0	0
ABHD17B	22	0	0
ABHD17C	9	0	0
ABHD18	73	0	0
ABHD2	69	0	0
ABHD3	50	0	0
ABHD4	40	0	0
ABHD5	40	0	0
ABHD6	34	0	0
ABHD8	39	0	0
ABI1	55	0	0
ABI2	46	0	0
ABI3	65	0	0
ABI3BP	181	0	0
ABL1	102	0	0
ABL2	93	0	0
ABLIM1	166	0	0
ABLIM2	184	0	0
ABLIM3	114	0	0
ABO	172	10	9
ABR	193	0	1
ABRA	26	0	0
ABRACL	13	0	0
ABRAXAS1	55	0	0
ABRAXAS2	48	0	0
ABT1	27	0	0
ABTB1	96	0	0
ABTB2	119	0	0
ACAA1	60	0	0
ACAA2	53	0	0
ACACA	256	0	0
ACACB	413	0	0
ACAD10	132	0	0
ACAD11	42	0	0
ACAD8	78	0	0
ACAD9	112	0	0
ACADL	60	0	0
ACADM	62	0	0
ACADS	83	0	0
ACADSB	60	0	0
ACADVL	117	0	0
ACAN	274	0	0
ACAP1	118	0	0
ACAP2	121	0	0
ACAP3	167	0	0
ACAT1	57	0	0
ACAT2	36	0	0
ACBD3	52	0	0
ACBD3-AS1	4	0	0
ACBD4	36	0	0
ACBD5	74	0	0
ACBD6	35	0	0
ACBD7	8	0	0
ACCS	91	0	0
ACCSL	80	0	0
ACD	60	0	0
ACE	247	1	0
ACER1	55	0	0
ACER2	40	0	0
ACER3	35	0	0
ACHE	56	0	0
ACIN1	177	0	0
ACKR1	24	0	0
ACKR2	47	0	0
ACKR3	37	0	0
ACKR4	14	0	0
ACLY	153	0	0
ACMSD	32	0	0
ACO1	122	0	0
ACO2	80	0	0
ACOD1	51	0	0
ACOT1	11	0	0
ACOT11	190	0	0
ACOT12	25	0	0
ACOT13	36	0	0
ACOT2	51	0	0
ACOT4	37	0	0
ACOT6	18	0	0
ACOT7	96	0	0
ACOT8	46	0	0
ACOX1	71	0	0
ACOX2	90	0	0
ACOX3	147	0	0
ACOXL	137	0	0
ACP1	47	0	0
ACP2	63	0	0
ACP5	34	0	0
ACP6	62	0	0
ACP7	83	0	0
ACR	57	0	0
ACRBP	65	0	0
ACRV1	32	0	0
ACSBG1	96	0	0
ACSBG2	112	0	0
ACSF2	82	0	0
ACSF3	117	0	0
ACSL1	109	0	0
ACSL3	110	0	0
ACSL5	88	0	0
ACSL6	153	0	0
ACSM1	80	0	0
ACSM2A	128	0	0
ACSM2B	121	0	0
ACSM3	63	0	0
ACSM4	88	0	0
ACSM5	131	0	0
ACSM6	61	0	0
ACSS1	111	0	0
ACSS2	98	0	0
ACSS3	87	0	0
ACTA1	35	0	0
ACTA2	35	0	0
ACTA2-AS1	5	0	0
ACTB	65	0	0
ACTBL2	36	0	0
ACTC1	4	0	0
ACTG1	96	0	0
ACTG2	49	0	0
ACTL10	12	0	0
ACTL6A	52	0	0
ACTL6B	53	0	0
ACTL7A	41	0	0
ACTL7B	43	0	0
ACTL8	22	0	0
ACTL9	27	2	2
